cm3,kW,km,brand,make,price,year
1956,103,164000,Alfa Romeo,Giulietta,6590,2011
1910,88,221000,Opel,Astra H,3100,2009
1896,74,256000,Audi,A4,3450,2003
1998,95,271000,Ford,Mondeo,750,2003
1461,66,185000,Renault,Megane,5650,2013
1368,88,182402,Fiat,Grande Punto,3999,2008
2148,125,325000,Mercedes Benz,C 220,6900,2008
1598,77,274617,Volkswagen,Golf 6,5800,2010
1390,92,205900,Seat,Altea,3800,2008
1598,85,150000,Škoda,Karoq,17990,2019
1600,77,170000,Volkswagen,Golf 7,9000,2014
1598,85,99100,Volkswagen,Golf 7,13999,2018
1499,75,174569,Citroen,C3,8950,2019
1499,88,179451,Ford,Focus,11200,2018
2143,100,226000,Mercedes Benz,C 200,7850,2010
1461,81,188000,Renault,Kadjar,,2017
1995,130,281000,BMW,520,7999,2008
1969,140,125000,Volvo,XC60,30499,2019
1896,77,208113,Audi,A3,4590,2006
1900,88,396524,Volkswagen,Golf 4,950,2000
1969,140,131000,Volvo,S90,27990,2018
1969,88,176000,Volvo,V40,12990,2019
1968,145,0,Mercedes Benz,GLC 220,82500,2023
1999,132,70000,Jaguar,E-Pace,26990,2019
1685,85,178800,Hyundai,Tucson,15300,2016
1968,140,245120,Audi,A4 Allroad,13900,2014
1364,66,186214,Toyota,Yaris,6450,2012
1968,130,276000,Audi,Q3,,2016
1968,110,10000,Audi,A3,26990,2021
1870,95,198000,Suzuki,Grand Vitara,7999,2009
1997,110,168000,Peugeot,308,8200,2014
1598,77,188999,Volkswagen,Golf 7,10299,2013
1197,85,84436,Nissan,Qashqai,12999,2015
1149,43,166500,Renault,Twingo,2550,2009
1686,44,210000,Opel,Corsa C,1500,2002
1968,110,125000,Volkswagen,Tiguan,24990,2019
1461,55,177564,Dacia,Sandero,6990,2017
875,63,174169,Fiat,500L,5990,2015
1598,77,189888,Opel,Combo,6990,2014
1984,100,193850,Volvo,V60,7990,2013
1368,99,191200,Alfa Romeo,MiTo,4999,2009
1968,103,174920,Audi,Q3,14200,2014
1398,110,102000,Volkswagen,Golf 7,12700,2016
1598,85,218175,Audi,A3,15700,2017
1995,140,189000,BMW,520,26800,2018
1995,110,218000,BMW,120,18199,2018
1896,77,245865,Volkswagen,Golf 5,4600,2006
1950,110,115000,Mercedes Benz,GLB 200,34999,2020
1398,81,165000,Audi,A3,13999,2017
875,62,147000,Fiat,Panda,7799,2012
1248,63,184161,Fiat,Grande Punto,4450,2012
2956,180,234000,Audi,A7,20000,2011
1995,110,163000,BMW,X3,5499,2005
1300,66,113650,Opel,Combo,6150,2013
1956,125,164000,Opel,Insignia,14990,2020
1598,77,211750,Volkswagen,Golf 7,9250,2013
1998,130,243000,Audi,A4,11499,2012
1396,80,70500,Hyundai,i30,6000,2012
1560,84,211307,Citroen,C4 Aircross,8950,2013
1461,81,89538,Renault,Captur,12650,2018
1149,55,75000,Dacia,Sandero,2750,2011
1999,177,185000,Land Rover,Range Rover Evoque,15999,2013
1582,100,112000,Kia,cee`d sw,7999,2016
1332,116,18000,Nissan,Qashqai,31900,2023
1368,57,135287,Fiat,Grande Punto,3599,2006
1896,74,280000,Volkswagen,Passat B5.5,2850,2003
1995,130,215000,BMW,X3,6700,2009
1968,110,176000,Škoda,Octavia,8950,2013
1598,88,190000,Peugeot,308,3350,2008
1461,63,63351,Renault,Clio,11999,2020
1422,66,190111,Škoda,Fabia,,2017
1598,81,181386,Opel,Insignia,12250,2019
1560,68,164339,Citroen,C4 Cactus,6995,2014
2143,100,285653,Mercedes Benz,C 200,7600,2010
1397,70,196000,Citroen,DS3,4999,2011
1299,60,310045,Mitsubishi,Space Star,1199,2001
1968,110,127334,Audi,Q3,23890,2019
875,63,84258,Fiat,Panda,5990,2013
1461,80,102000,Mercedes Benz,B 180,15000,2018
1248,70,182000,Opel,Meriva,5300,2011
2148,125,281000,Mercedes Benz,E 220,7750,2007
1124,44,105835,Citroen,C2,2950,2006
1968,110,196000,Škoda,Octavia,9400,2013
1997,132,139074,Peugeot,3008,22890,2020
898,66,131523,Renault,Captur,6995,2013
1598,88,159000,Suzuki,SX4 S-Cross,10000,2015
1368,73,5,Kia,Stonic,18939,2023
1397,50,167427,Peugeot,208,4995,2012
1968,103,207937,Volkswagen,Passat B7,6195,2012
1461,81,175837,Nissan,Qashqai,6995,2010
1968,103,191531,Volkswagen,Touran,4250,2006
